country_code,game_year,BRONZE,GOLD,SILVER,total_medals
AFG,2008,1,0,0,1
AFG,2012,1,0,0,1
AHO,1988,0,0,1,1
ALG,1984,2,0,0,2
ALG,1992,1,1,0,2
ALG,1996,1,2,0,3
ALG,2000,3,1,1,5
ALG,2008,1,0,1,2
ALG,2012,0,1,0,1
ALG,2016,0,0,2,2
ANZ,1908,2,1,2,5
ANZ,1912,3,2,2,7
ARG,1924,2,1,3,6
ARG,1928,1,3,3,7
ARG,1932,0,3,1,4
ARG,1936,4,2,2,8
ARG,1948,1,3,3,7
ARG,1952,2,2,2,6
ARG,1956,1,0,1,2
ARG,1960,1,0,1,2
ARG,1964,0,0,1,1
ARG,1968,2,0,0,2
ARG,1972,0,0,1,1
ARG,1988,1,0,1,2
ARG,1992,2,0,0,2
ARG,1996,1,0,2,3
ARG,2000,3,0,2,5
ARG,2004,6,2,0,8
ARG,2008,5,3,0,8
ARG,2012,3,1,1,5
ARG,2016,0,4,1,5
ARG,2020,2,0,1,3
ARM,1996,0,1,1,2
ARM,2000,1,0,0,1
ARM,2008,4,0,1,5
ARM,2012,1,0,1,2
ARM,2016,0,1,3,4
ARM,2020,2,0,2,4
AUS,1896,0,2,0,2
AUS,1900,3,2,0,5
AUS,1904,1,0,3,4
AUS,1920,1,0,2,3
AUS,1924,2,3,1,6
AUS,1928,1,1,2,4
AUS,1932,1,3,1,5
AUS,1936,1,0,0,1
AUS,1948,5,2,6,13
AUS,1952,3,7,2,12
AUS,1956,16,14,9,39
AUS,1960,6,8,8,22
AUS,1964,10,6,2,18
AUS,1968,5,5,7,17
AUS,1972,2,9,7,18
AUS,1976,5,0,1,6
AUS,1980,5,2,2,9
AUS,1984,14,4,8,26
AUS,1988,7,3,6,16
AUS,1992,13,8,9,30
AUS,1994,1,0,0,1
AUS,1996,29,11,11,51
AUS,1998,1,0,0,1
AUS,2000,20,20,29,69
AUS,2002,0,2,0,2
AUS,2004,20,19,17,56
AUS,2006,1,1,0,2
AUS,2008,17,18,17,52
AUS,2010,0,2,1,3
AUS,2012,13,10,17,40
AUS,2014,1,0,2,3
AUS,2016,12,8,14,34
AUS,2018,1,0,2,3
AUS,2020,23,19,8,50
AUS,2022,1,1,2,4
AUT,1896,2,2,1,5
AUT,1900,3,0,3,6
AUT,1904,1,1,1,3
AUT,1908,1,0,0,1
AUT,1912,2,0,3,5
AUT,1924,1,3,4,8
AUT,1928,4,2,4,10
AUT,1932,3,2,2,7
AUT,1936,4,5,7,16
AUT,1948,7,2,3,12
AUT,1952,4,2,5,11
AUT,1956,8,5,3,16
AUT,1960,3,2,4,9
AUT,1964,3,5,6,14
AUT,1968,7,3,7,17
AUT,1972,4,1,3,8
AUT,1976,4,2,2,8
AUT,1980,4,4,5,13
AUT,1984,2,1,1,4
AUT,1988,2,4,5,11
AUT,1992,8,6,10,24
AUT,1994,4,2,3,9
AUT,1996,2,0,1,3
AUT,1998,9,3,5,17
AUT,2000,0,3,1,4
AUT,2002,10,3,4,17
AUT,2004,1,3,4,8
AUT,2006,7,10,7,24
AUT,2008,2,0,1,3
AUT,2010,6,5,6,17
AUT,2014,5,4,9,18
AUT,2016,2,0,0,2
AUT,2018,6,5,4,15
AUT,2020,5,1,1,7
AUT,2022,5,7,7,19
AZE,1996,0,0,1,1
AZE,2000,1,2,0,3
AZE,2004,4,1,0,5
AZE,2008,4,1,1,6
AZE,2012,6,2,2,10
AZE,2016,10,1,7,18
AZE,2020,4,0,3,7
BAH,1956,2,0,0,2
BAH,1964,0,2,0,2
BAH,1992,1,0,0,1
BAH,1996,0,0,1,1
BAH,2000,1,2,0,3
BAH,2004,1,1,0,2
BAH,2008,1,0,1,2
BAH,2012,0,1,0,1
BAH,2016,1,1,0,2
BAH,2020,0,2,0,2
BAR,2000,1,0,0,1
BDI,1996,0,1,0,1
BDI,2016,0,0,1,1
BEL,1900,4,5,7,16
BEL,1908,2,1,5,8
