id,total_medals,gold,silver,bronze
Nigeria,27.0,3.0,10.0,14.0
Hungary,559.0,192.0,166.0,201.0
Guatemala,1.0,0.0,1.0,0.0
Brazil,180.0,46.0,51.0,83.0
South Africa,95.0,28.0,37.0,30.0
Kenya,112.0,35.0,42.0,35.0
Iraq,1.0,0.0,0.0,1.0
Togo,1.0,0.0,0.0,1.0
Austria,371.0,98.0,132.0,141.0
Italy,805.0,274.0,243.0,288.0
Russian Federation,599.0,214.0,183.0,202.0
Lebanon,4.0,0.0,2.0,2.0
Vietnam,4.0,1.0,3.0,0.0
Singapore,5.0,1.0,2.0,2.0
New Zealand,173.0,69.0,46.0,58.0
Botswana,2.0,0.0,1.0,1.0
Netherlands Antilles,1.0,0.0,1.0,0.0
Jordan,3.0,1.0,1.0,1.0
Qatar,9.0,2.0,2.0,5.0
Indonesia,47.0,13.0,17.0,17.0
Niger,2.0,0.0,1.0,1.0
Kazakhstan,80.0,16.0,25.0,39.0
Bulgaria,240.0,57.0,92.0,91.0
Mauritius,1.0,0.0,0.0,1.0
Romania,341.0,106.0,106.0,129.0
Georgia,40.0,10.0,12.0,18.0
Luxembourg,5.0,2.0,3.0,0.0
Bahrain,4.0,2.0,2.0,0.0
Norway,589.0,217.0,192.0,180.0
Saudi Arabia,4.0,0.0,2.0,2.0
Ethiopia,57.0,23.0,12.0,22.0
Czech Republic,110.0,30.0,36.0,44.0
Croatia,60.0,22.0,21.0,17.0
Sudan,1.0,0.0,1.0,0.0
Tajikistan,4.0,1.0,1.0,2.0
MIX,31.0,12.0,8.0,11.0
Armenia,18.0,2.0,8.0,8.0
Peru,4.0,1.0,3.0,0.0
Denmark,233.0,53.0,89.0,91.0
Venezuela,19.0,3.0,7.0,9.0
Yugoslavia,94.0,27.0,35.0,32.0
North Macedonia,2.0,0.0,1.0,1.0
Trinidad and Tobago,19.0,3.0,5.0,11.0
"Hong Kong, China",10.0,2.0,4.0,4.0
Belgium,170.0,46.0,61.0,63.0
Israel,13.0,3.0,1.0,9.0
Australasia,12.0,3.0,4.0,5.0
Afghanistan,2.0,0.0,0.0,2.0
Netherlands,501.0,152.0,167.0,182.0
Spain,206.0,63.0,86.0,57.0
India,35.0,10.0,9.0,16.0
Chile,14.0,3.0,7.0,4.0
Sweden,709.0,219.0,241.0,249.0
Puerto Rico,10.0,2.0,2.0,6.0
Mozambique,2.0,1.0,0.0,1.0
Serbia,25.0,6.0,8.0,11.0
United Republic of Tanzania,2.0,0.0,2.0,0.0
